"Round","Player_A","Player_B"
166,1,1
167,1,3
168,2,2
169,3,1
170,3,3
171,1,3
172,2,1
173,2,3
174,1,2
175,2,1
176,2,3
177,3,2
178,3,3
179,1,1
180,1,3
181,3,1
182,3,2
183,1,2
184,1,1
185,1,2
186,2,1
187,2,3
188,1,3
189,1,1
190,1,1
191,1,2
192,2,3
193,2,1
194,2,3
195,3,1
196,3,3
197,3,3
198,3,3
199,3,1
200,2,3
201,2,3
202,2,3
203,3,2
204,3,1
205,3,1
206,2,2
207,1,1
208,1,1
209,3,1
210,1,2
211,2,3
212,3,1
213,2,3
214,2,1
215,3,2
216,2,1
217,2,2
218,1,2
219,3,2
220,2,2
221,2,3
222,2,3
223,1,3
224,1,2
225,3,2
226,2,1
227,2,3
228,2,3
229,2,3
230,3,2
231,1,3
232,3,1
233,3,3
234,3,1
235,1,1
236,1,2
237,1,2
238,2,3
239,1,2
240,1,3
241,2,3
242,1,2
243,2,1
244,3,3
245,3,3
246,1,2
247,1,2
248,1,2
249,1,2
250,3,2
251,3,3
252,2,2
253,1,2
254,2,1
255,3,2
256,2,1
257,3,2
258,3,1
259,3,1
260,3,3
261,1,3
262,1,3
263,1,2
264,1,2
265,3,2
266,3,3
267,3,3
268,1,2
269,1,3
270,1,3
271,1,3
272,3,1
273,3,2
274,2,1
275,2,2
276,2,3
277,2,1
278,2,1
279,3,2
280,3,2
281,2,1
282,2,1
283,2,3
284,1,3
285,3,3
286,3,3
287,1,2
288,1,3
289,3,1
290,3,3
291,1,3
292,3,1
293,3,3
294,3,1
295,2,2
296,2,1
297,1,2
298,1,3
299,1,3
300,1,3
301,3,2
302,1,3
303,3,2
304,2,3
305,2,3
306,3,2
307,3,3
308,3,1
309,1,2
310,3,1
311,1,1
312,3,2
313,3,2
314,1,1
315,3,3
316,2,2
317,3,2
318,1,1
319,1,3
320,3,2
321,2,3
322,2,1
323,2,2
324,2,3
325,2,2
326,2,2
327,2,2
328,1,1
329,1,2
330,1,2
331,1,2
332,1,3
333,3,2
334,3,1
335,2,1
336,2,3
337,1,3
338,1,1
339,3,1
340,3,3
341,2,2
342,1,1
343,1,2
344,3,3
345,2,1
346,2,2
347,1,3
348,3,1
349,2,3
350,2,1
351,2,2
352,2,3
353,1,2
354,3,3
355,1,1
356,1,3
357,3,1
358,3,1
359,3,3
360,3,2
361,2,1
362,2,2
363,2,2
364,2,1
365,2,2
366,2,1
367,2,1
368,2,3
369,3,1
370,2,3
371,3,1
372,1,3
373,3,3
374,3,3
375,2,3
376,1,2
377,1,3
378,3,3
379,3,1
380,1,3
381,2,1
382,1,3
383,1,2
384,3,1
385,1,2
386,1,1
387,1,3
388,1,2
389,3,3
390,3,3
391,3,3
392,3,2
393,2,2
394,1,1
395,1,2
396,3,1
397,3,1
398,3,1
399,3,3
400,1,1
401,3,1
402,3,3
403,3,2
404,2,3
405,2,2
406,2,2
407,2,2
408,3,2
409,1,2
410,3,2
411,2,2
412,1,3
413,2,2
414,3,1
415,1,2
416,1,2
417,3,3
418,3,3
419,2,2
420,2,3
421,2,2
422,2,3
423,2,1
424,2,2
425,2,3
426,2,2
427,2,2
428,2,3
429,3,2
430,3,3
431,2,3
432,2,2
433,2,2
434,1,1
435,2,2
436,2,2
437,2,1
438,1,3
439,1,3
440,3,2
441,2,3
442,2,2
443,1,1
444,2,2
445,1,3
446,1,2
447,1,1
448,2,3
449,3,2
450,2,3
451,2,3
452,3,1
453,2,1
454,2,3
455,1,2
456,2,2
457,3,1
458,3,2
459,3,1
460,1,2
461,2,3
462,1,3
463,3,2
464,1,3
465,1,3
466,3,1
467,3,1
468,2,3
469,2,1
470,2,2
471,2,3
472,2,2
473,1,2
474,3,1
475,1,3
476,3,3
477,3,1
478,3,1
479,1,2
480,3,3
481,1,3
482,1,2
483,3,2
484,3,3
485,3,3
486,3,2
487,2,3
488,2,3
489,2,2
490,2,1
491,1,2
492,1,3
493,1,1
494,1,1
495,3,3
496,1,3
497,3,2
498,2,2
499,1,3
500,1,2
501,2,3
502,3,3
503,3,3
504,3,2
505,3,2
506,3,2
507,2,2
508,2,3
509,3,2
510,1,2
511,1,1
512,1,1
513,1,1
514,1,1
515,3,1
516,3,3
517,3,3
518,3,1
519,1,3
520,3,2
521,1,3
522,3,2
523,3,1
524,2,1
525,3,1
526,2,1
527,3,1
528,1,3
529,2,3
530,1,1
531,1,2
532,3,3
533,3,1
534,3,1
535,1,1
536,1,2
537,3,2
538,3,1
539,3,3
540,1,3
541,3,2
542,1,3
543,1,1
544,1,2
545,2,1
546,2,3
547,1,3
548,2,3
549,3,2
550,3,2
551,2,3
552,1,1
553,1,1
554,2,2
555,1,1
556,2,2
557,2,3
558,3,1
559,3,2
560,3,2
561,3,2
562,2,1
563,2,3
564,1,3
565,1,3
566,3,3
567,2,2
568,2,2
569,2,3
570,3,3
571,3,1
572,1,3
573,1,2
574,3,3
575,3,1
576,3,2
577,1,2
578,1,2
579,3,3
580,1,1
581,1,2
582,1,1
583,3,2
584,1,3
585,1,3
586,3,2
587,3,1
588,3,2
589,2,3
590,2,3
591,1,2
592,3,2
593,3,3
594,3,3
595,2,2
596,2,1
597,2,1
598,2,1
599,1,3
600,1,2
601,2,3
602,2,2
603,2,2
604,3,1
605,3,1
606,3,1
607,3,2
608,2,2
609,3,2
610,3,2
611,2,2
612,2,3
613,2,3
614,2,1
615,1,1
616,1,1
617,2,2
618,2,2
619,3,3
620,1,2
621,2,1
622,2,3
623,3,3
624,1,1
625,1,1
626,1,3
627,1,3
628,1,1
629,1,1
630,1,1
631,3,3
632,3,3
633,3,3
634,2,1
635,3,2
636,3,1
637,2,1
638,1,2
639,2,2
640,2,1
641,2,2
642,3,1
643,3,2
644,1,1
645,1,2
646,1,3
647,3,1
648,3,1
649,2,1
650,1,3
651,1,3
652,2,2
653,1,1
654,1,2
655,1,1
656,3,3
657,1,3
658,3,3
659,1,3
660,1,2
661,2,1
662,2,3
663,2,2
664,2,3
665,3,3
666,3,3
667,1,1
668,1,2
669,1,3
670,3,1
671,1,3
672,1,3
673,1,1
674,1,3
675,3,1
676,1,3
677,3,1
678,1,3
679,3,3
680,3,2
681,2,3
682,1,3
683,3,3
684,3,2
685,3,1
686,3,2
687,3,1
688,3,2
689,3,1
690,3,2
691,3,2
692,2,1
693,1,2
694,2,1
695,2,1
696,1,2
697,1,2
698,1,3
699,3,3
700,1,1
701,3,3
702,3,2
703,2,1
704,3,1
705,1,1
706,2,2
707,2,2
708,1,2
709,3,3
710,1,1
711,1,3
712,3,1
713,2,2
714,1,2
715,1,3
716,2,1
717,2,3
718,1,2
719,1,3
720,1,2
721,1,3
722,3,1
723,3,1
724,3,3
725,1,2
726,1,2
727,1,1
728,3,1
729,3,3
730,2,2
731,2,2
732,3,1
733,2,3
734,3,3
735,3,2
736,3,3
737,3,3
738,2,2
739,2,2
740,2,2
741,2,2
742,1,3
743,1,2
744,3,2
745,1,3
746,1,1
747,1,3
748,1,2
749,1,3
750,1,3
751,1,2
752,2,3
753,2,1
754,2,2
755,3,2
756,2,1
757,2,1
758,2,1
759,2,2
760,2,3
761,2,1
762,2,3
763,1,1
764,1,2
765,1,3
766,1,1
767,2,2
768,2,1
769,3,2
770,3,3
771,2,1
772,3,2
773,3,3
774,3,3
775,2,3
776,1,2
777,2,1
778,2,2
779,2,1
780,2,2
781,1,1
782,1,2
783,2,2
784,2,2
785,2,1
786,2,3
787,3,3
788,3,1
789,3,3
790,3,2
791,3,3
792,3,1
793,3,1
794,3,3
795,3,3
796,3,2
797,3,1
798,2,1
799,1,3
800,2,3
801,3,1
802,2,3
803,1,1
804,1,2
805,3,3
806,3,1
807,3,1
808,2,3
809,2,3
810,2,1
811,2,2
812,3,2
813,1,1
814,1,1
815,1,3
816,2,2
817,3,2
818,3,1
819,3,2
820,3,2
821,2,2
822,2,1
823,1,1
824,2,3
825,1,2
826,2,1
827,1,1
828,3,3
829,3,1
830,1,1
831,2,3
832,2,2
833,2,3
834,2,2
835,1,3
836,3,3
837,2,1
838,3,3
839,3,1
840,3,2
841,2,2
842,3,1
843,3,2
844,1,1
845,1,1
846,1,1
847,1,1
848,1,3
849,1,3
850,1,3
851,3,3
852,3,3
853,3,1
854,1,1
855,2,2
856,1,2
857,3,2
858,2,3
859,3,1
860,3,2
861,3,2
862,3,3
863,2,2
864,2,2
865,3,3
866,3,3
867,2,1
868,2,2
869,2,3
870,1,3
871,3,2
872,3,3
873,3,1
874,3,1
875,2,2
876,2,1
877,3,1
878,2,3
879,2,2
880,3,1
881,3,3
882,2,2
883,2,3
884,2,3
885,1,1
886,1,2
887,2,1
888,1,2
889,2,3
890,2,3
891,3,1
892,3,1
893,3,3
894,3,3
895,2,2
896,3,1
897,3,3
898,3,1
899,3,2
900,1,1
901,1,3
902,1,2
903,1,2
904,1,3
905,2,1
906,1,2
907,1,2
908,3,3
909,2,2
910,1,3
911,1,1
912,1,1
913,3,1
914,2,2
915,2,1
916,2,2
917,2,1
918,1,2
919,1,3
920,1,1
921,1,1
922,1,1
923,1,2
924,1,3
925,1,1
926,1,3
927,1,1
928,1,3
929,1,3
930,3,2
931,3,1
932,1,2
933,1,2
934,3,1
935,1,3
936,1,2
937,2,3
938,2,2
939,2,1
940,2,1
941,3,2
942,3,2
943,2,3
944,1,2
945,3,2
946,3,3
947,3,1
948,1,3
949,2,1
950,2,3
951,2,1
952,1,1
953,3,2
954,3,2
955,2,2
956,2,2
957,2,2
958,1,1
959,1,3
960,1,2
961,2,3
962,2,3
963,3,1
964,3,1
965,3,3
966,3,3
967,2,1
968,2,3
969,3,2
970,3,2
971,3,1
972,1,1
973,1,1
974,1,3
975,1,2
976,1,3
977,2,1
978,2,3
979,2,2
980,2,3
981,1,1
982,2,1
983,2,2
984,2,3
985,1,3
986,1,2
987,3,3
988,3,2
989,1,2
990,1,2
991,1,2
992,3,3
993,3,3
994,1,1
995,1,1
996,1,3
997,2,3
998,2,2
999,3,3
1000,2,2
